Organization Name,Address,City,State,Postcode,Main Phone #,Discipline,Council District,Community Board,Borough,Latitude,Longitude,Census Tract,BIN,BBL,NTA
LaGuardia Performing Arts Center,"31-10 Thomson Avenue, Room E413",Long Island City,NY,11101,(718) 482-5301,"Multi-Discipline, Performing",Queens Council District #26,Queens Community Board #1,Queens,40.744902,-73.935022,179,4003534,4002780001,Hunters Point-Sunnyside-West Maspeth
LaGuardia and Wagner Archives,31-10 Thomson Avenue,Long Island City,NY,11101,(718) 482-5301,Humanities,Queens Council District #26,Queens Community Board #2,Queens,40.744902,-73.935022,179,4003534,4002780001,Hunters Point-Sunnyside-West Maspeth
"LaMicro Theater, Inc.",P.O. Box 20019,New York,NY,10011,(212) 929-0332,Theater,Manhattan Council District #2,Manhattan Community Board #3,Manhattan,,,,,,
"Landmark West, Inc.",45 West 67th Street,New York,NY,10023,(212) 496-8110,Architecture/Design,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,40.773595,-73.979594,153,1028260,1011207501,Lincoln Square
Lark Theatre Company,311 West 43rd Street,New York,NY,10036,(212) 246-2676 x23,Theater,Manhattan Council District #6,Manhattan Community Board #4,Manhattan,40.75818,-73.989922,121,1024965,1010340022,Clinton
"Latin American Cultural Center of Queens, Inc.","120-55 Queens Boulevard, Room 333",Kew Gardens,NY,11424,(718) 261-7664,"Multi-Discipline, Performing",Queens Council District #24,Queens Community Board #3,Queens,40.713329,-73.828601,216,4052812,4022740002,Kew Gardens
Latin American Intercultural Alliance,86-28 110th Street,Richmond Hill,NY,11418,(347) 995-2745,"Multi-Discipl, Perf & Non-Perf",Queens Council District #27,Queens Community Board #12,Queens,40.697707,-73.838573,128,4192199,4092050019,Richmond Hill
Latin American Theater Experiment & Associates,P.O. Box 20673,New York,NY,10701,(212) 529-1948,Theater,Manhattan Council District #1,Manhattan Community Board #3,Manhattan,,,,,,
Latin American Theatre Ensemble Inc.,"350 West 51st Street,  Apt. 13-D",New York,NY,10019,(212) 397-3262,Theater,Manhattan Council District #8,Manhattan Community Board #11,Manhattan,40.76374,-73.987632,133,1025183,1010410050,Clinton
"Latino International Theater Festival of New York, Inc.","142 East 27th Street, Ste. 1A",New York,NY,10016,(212) 695-4010,Theater,Manhattan Council District #2,Manhattan Community Board #6,Manhattan,40.74182,-73.982447,68,1018149,1008820056,Gramercy
"Latsky Dance, Inc.","400 West 43rd Street, #21S",New York,NY,10036,(212) 679-7399,Dance,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.759173,-73.992326,121,1083745,1010520001,Clinton
"Laundromat Project, Inc.","127 West 127th Street, #434",New York,NY,10027,(718) 574-0798,Visual Arts,Brooklyn Council District #36,Brooklyn Community Board #3,Brooklyn,,,,,,
"Laurie Foundation for the Performing Arts, Inc.",547 West 26th Street,New York,NY,10001,(212) 244-0015,Dance,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.750259,-74.004345,99,1012390,1006980010,Hudson Yards-Chelsea-Flatiron-Union Square
"League of American Theatres and Producers, Inc.","226 West 47th Street, 6th floor",New York,NY,10036,(212) 703-0222,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,40.759713,-73.985854,125,1024743,1010180044,Midtown-Midtown South
League of Composers,34-29 80th Street,Jackson Heights,NY,11372,(718) 622-3005,Music,Brooklyn Council District #33,Brooklyn Community Board #6,Brooklyn,40.630333,-74.038459,44,,,Bay Ridge
League of Professional Theatre Women,520 8th Avenue,New York,NY,10018,(888) 297-3117,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,40.753612,-73.992417,109,1083624,1007860001,Midtown-Midtown South
League of Professional Theatre Women,P.O. Box 2292,New York,NY,10108,(212) 362-3204,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,,,,,,
"Learning Leaders, Inc.","80 Maiden Lane, 11th Floor",New York,NY,10038,(212) 213-3370 x530,Visual Arts,Manhattan Council District #1,Manhattan Community Board #1,Manhattan,40.707116,-74.007329,7,1001015,1000420031,Battery Park City-Lower Manhattan
"Learning Through an Expanded Arts Program, Inc.","535 Eighth Avenue, Suite 1100",New York,NY,10018,(212) 769-4160 x7,"Multi-Discipline, Non-Perform",Manhattan Council District #6,Manhattan Community Board #7,Manhattan,40.75395,-73.992193,111,1013599,1007600043,Hudson Yards-Chelsea-Flatiron-Union Square
Legacy Center,P.O. Box 690136,Bronx,NY,10469,(917) 634-9200,"Multi-Discipline, Performing",Bronx Council District #18,Bronx Community Board #9,Bronx,,,,,,
"Legros Cultural Arts, Inc.",146-28 225 Street,Rosedale,NY,11413,(917) 741-2992,"Multi-Discipl, Perf & Non-Perf",Queens Council District #31,Queens Community Board #13,Manhattan,,,,,,
Lehman College Art Gallery,250 Bedford Park Boulevard West,Bronx,NY,10468,(718) 960-8731,Visual Arts,Bronx Council District #11,Bronx Community Board #7,Bronx,40.875028,-73.89286,409,2097309,2032470165,Van Cortlandt Village
"Lehman College Center for the Performing Arts, Inc.",250 Bedford Park Boulevard West,Bronx,NY,10468,(718) 960-8490,"Multi-Discipline, Performing",Bronx Council District #11,Bronx Community Board #7,Bronx,40.875028,-73.89286,409,2097309,2032470165,Van Cortlandt Village
"Les Ballets Trockadero de Monte Carlo, Inc.",Box 1325 Gracie Station,New York,NY,10028,(202) 251-4176,Dance,Manhattan Council District #5,Manhattan Community Board #8,Manhattan,,,,,,
Lesbian & Gay Big Apple Corps,332 Bleecker Street,New York,NY,10014,(212) 591-2886,Music,Manhattan Council District #3,Manhattan Community Board #2,Manhattan,40.733529,-74.004352,73,1011145,1006190033,West Village
"Lesbian and Gay Community Services Center, Inc.",208 West 13th Street,New York,NY,10011,(212) 620-7310 x244,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #3,Manhattan Community Board #2,Manhattan,40.738034,-74.000603,77,1067571,1006170047,West Village
Leslie-Lohman Museum of Gay and Lesbian Art,26 Wooster Street,New York,NY,10013,(212) 431-2609,Museum,Manhattan Council District #1,Manhattan Community Board #2,Manhattan,40.721705,-74.003204,47,1077455,1002290020,SoHo-TriBeCa-Civic Center-Little Italy
"Letter of Marque Theater, Incorporated",172 5th Ave No. 191,Brooklyn,NY,11217,(718) 246-2411,Theater,Brooklyn Council District #39,Brooklyn Community Board #6,Brooklyn,40.677501,-73.979731,131,3019561,3009490046,Park Slope-Gowanus
"Leviathan Lab, Inc.",413 West 50th Street,New York,NY,10019,(347) 581-3047,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.763776,-73.989611,133,1079122,1010600024,Clinton
"Lewis Howard Latimer Fund, Inc.",34-41 137th Street,Flushing,NY,11354,(718) 961-8585,Museum,Queens Council District #25,Queens Community Board #7,Queens,40.765923,-73.829621,88901,4538071,4049530001,Flushing
"Liberata Dance Theatre, Inc.","440 West 34th Street, Apt. 13G",New York,NY,10001,(212) 971-6054,"Multi-Discipline, Performing",Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.754022,-73.997842,103,1012854,1007310065,Hudson Yards-Chelsea-Flatiron-Union Square
"Liberated Movement, Inc.",87-09 34th Ave,Jackson Heights,NY,11372,(646) 244-7889,Dance,Manhattan Council District #1,Manhattan Community Board #1,Manhattan,,,,,,
"Liberian Cultural Association, Inc.",361 Van Duzer Street,New York,NY,10304,(347) 893-3393,"Multi-Discipline, Performing",Staten Island Council Dist #49,Staten Island Community Brd #1,Staten Island,40.629308,-74.079373,21,5013472,5005130060,Stapleton-Rosebank
"Library Action Committee of Corona-East Elmhurst, Inc.",100-01 Northern Boulevard,Corona,NY,11368,(718) 651-1100,"Multi-Discipline, Performing",Queens Council District #21,Queens Community Board #3,Queens,40.757361,-73.868331,363,4437193,4016950039,East Elmhurst
"Life Through Dance, Inc.","345 Riverside Drive, Apt. 5A",New York,NY,10025,(646) 250-1847,Dance,Manhattan Council District #9,Bronx Community Board #7,Manhattan,40.802794,-73.969464,195,1057273,1018920032,Morningside Heights
"Light & Love Productions, Inc.","8915 Parsons Boulevard, Ste. 9L",Jamaica,NY,11432,(347) 806-0344,Film/Video/Audio,Queens Council District #24,Queens Community Board #12,Queens,40.705537,-73.801509,44601,4208859,4097580006,Jamaica
"Light Industry Cinema Projects, Ltd.",155 Freeman Street,Brooklyn,NY,11222,(646) 420-0359,Film/Video/Audio,Brooklyn Council District #38,Brooklyn Community Board #7,Brooklyn,40.734377,-73.955816,563,3063927,3025047502,Greenpoint
"Light Opera of New York, Inc.",Light Opera of New York,New York,NY,10101,(610) 613-4793,"Multi-Discipline, Performing",Manhattan Council District #3,Manhattan Community Board #4,Manhattan,,,,,,
Lighthouse International,250 West 64th Street,New York,NY,10023,(212) 821-9374,Music,Manhattan Council District #4,Manhattan Community Board #8,Manhattan,40.774338,-73.987266,151,1030337,0,Lincoln Square
"Lincoln Center for the Performing Arts, Inc.",165 West 65th Street,New York,NY,10023,(212) 875-5000,"Multi-Discipline, Performing",Manhattan Council District #6,Manhattan Community Board #7,Manhattan,40.773742,-73.983865,149,1077844,1011377501,Lincoln Square
"Lincoln Square District Management Association, Inc.","1841 Broadway, Ste. 1112",New York,NY,10023,(212) 581-3774,Music,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,40.769158,-73.982429,145,1027189,1011130018,Lincoln Square
Lindsay's Theatre,"161 Sixth Avenue, 14th Floor",New York,NY,10013,(212) 691-6969,Theater,,Manhattan Community Board #2,Manhattan,40.725677,-74.003976,37,1007822,1005050031,SoHo-TriBeCa-Civic Center-Little Italy
Lit Fund Incorporated,2348 Crescent Street,Astoria,NY,11105,(917) 626-1369,Theater,Queens Council District #22,Queens Community Board #1,Queens,40.776022,-73.91782,97,4018813,4008650057,Steinway
Literary Arts & Film Foundation Inc.,"608 West 135th Street, Suite 5a",New York,NY,10031,(212) 283-4738,Film/Video/Audio,Manhattan Council District #7,Manhattan Community Board #9,Manhattan,40.820348,-73.955687,22302,1079747,1020010038,Manhattanville
"Little Branches of Borinquen, Inc.",2038 Davidson Avenue,Bronx,NY,10453,(718) 731-6360,Dance,Bronx Council District #14,Bronx Community Board #5,Bronx,40.853537,-73.908741,243,2008399,2028630028,University Heights-Morris Heights
Little Opera Theatre of NY,"Old Chelsea Station, PO Box 1392",New York,NY,10113,(212) 560-2228,Music,Manhattan Council District #4,Manhattan Community Board #5,Manhattan,,,,,,
"Little Orchestra Society/Orpheon, Inc.","330 West 42nd Street, 12th Floor",New York,NY,10036,(212) 971-9500 x119,Music,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.757661,-73.990832,115,1024926,1010320048,Clinton
Live Source Inc.,138 S Oxford St,Brooklyn,NY,11217,(562) 665-8890,Theater,Brooklyn Council District #36,Brooklyn Community Board #3,Brooklyn,40.685073,-73.973221,179,3000000,3020040048,Fort Greene
Living Arts Productions,731 West 183rd Street #3-l,New York,NY,10033,(914) 961-8822,"Multi-Discipline, Performing",Manhattan Council District #7,Manhattan Community Board #12,Manhattan,40.851994,-73.937224,273,1064410,1021800085,Washington Heights North
"Living Image Arts, Inc.",1072 Lorimer Street,Brooklyn,NY,11222,(718) 389-2151,Theater,Brooklyn Council District #33,Brooklyn Community Board #1,Brooklyn,40.727372,-73.953851,561,3065314,3025960008,Greenpoint
"Living Room for Artists, Inc.",PO Box 778,New York,NY,10108,(212) 279-4040,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,,,,,,
"Living Theatre, Inc.",21 Clinton Street,New York,NY,10002,(212) 397-9307,Theater,Manhattan Council District #1,Manhattan Community Board #3,Manhattan,40.720683,-73.984253,3001,1088336,1003500026,Chinatown
"Living Traditions, Inc.","207 West 25th Street, 4th Floor",New York,NY,10001,(212) 532-8202,Folk Arts,Manhattan Council District #2,Manhattan Community Board #5,Manhattan,40.745623,-73.995254,91,1014211,1007757501,Hudson Yards-Chelsea-Flatiron-Union Square
Loadbang Inc.,69 Bennett Ave.,NY,NY,10033,(412) 680-0974,Music,Manhattan Council District #10,Manhattan Community Board #12,Manhattan,40.85266,-73.935542,271,1064427,1021807501,Washington Heights North
Local 802 Senior Musicians Association,322 West 48th Street,New York,NY,10036,(212) 245-4802 x228,Music,Manhattan Council District #4,Manhattan Community Board #3,Manhattan,40.761399,-73.987896,127,1025108,1010380043,Clinton
Local Project,11-27 44th Road,New York,NY,11101,(646) 298-0969,"Multi-Discipl, Perf & Non-Perf",Queens Council District #26,Queens Community Board #2,Queens,40.749237,-73.949061,19,4005222,4004460018,Hunters Point-Sunnyside-West Maspeth
"Location One, Inc.",26 Greene Street,New York,NY,10013,(212) 334-3347,Visual Arts,Manhattan Council District #1,Manhattan Community Board #2,Manhattan,40.721172,-74.002576,47,1002990,1002307503,SoHo-TriBeCa-Civic Center-Little Italy
"Loco-Motion Dance Theatre for Children, Inc.",112 St. Marks Place #2,Brooklyn,NY,11217,(212) 995-9027,Dance,Manhattan Council District #3,Manhattan Community Board #2,Manhattan,40.727317,-73.984655,32,1005828,1004350019,East Village
Loco7 Dance Puppet Theatre Company Incorporated,"69 East 4th Street, apt 4c",New York,NY,10003,(646) 642-5990,Theater,Manhattan Council District #2,Manhattan Community Board #3,Manhattan,40.726634,-73.99045,38,1077982,1004600052,East Village
"Lodyjensky Immigration Archive Center of Russian & Ukrainian Culture, Inc.","1679 East 3 street, Apt 601",Brooklyn,NY,11230,(718) 594-4800,"Multi-Discipline, Non-Perform",Brooklyn Council District #44,Brooklyn Community Board #12,Brooklyn,40.609684,-73.971004,438,3174881,3066100055,Ocean Parkway South
"Loft Practice Organization, Inc.",212 E Broadway 1103g,New York,NY,10002,(201) 881-3086,Dance,Manhattan Council District #1,Manhattan Community Board #3,Manhattan,40.714285,-73.987591,1401,1077607,1003110013,Lower East Side
"Loisaida, Inc.",300 E 175th Street,Bronx,NY,10457,(646) 757-0522,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #3,Manhattan,,,,,,
"LonGar Ebony Ensemble, Ltd.",119 West 119th Street,New York,NY,10026,(212) 749-5500 x2128655522,Music,Manhattan Council District #9,Manhattan Community Board #10,Manhattan,40.80431,-73.949087,220,1057550,1019040022,Central Harlem South
Long Island City Cultural Alliance,P. O. Box 1858,Long Island City,NY,11101,(917) 558-4800,"Multi-Discipl, Perf & Non-Perf",Queens Council District #26,,Queens,,,,,,
Long Island String Quartet,1434 155th Street,Whitestone,NY,11357,(631) 421-4635,Music,Queens Council District #19,Queens Community Board #11,Queens,40.788512,-73.806795,991,4103801,4045610058,Whitestone
"Look & Listen, Inc.",34-29 80th Street,Jackson Heights,NY,11372,(718) 622-3005,Music,Brooklyn Council District #33,Brooklyn Community Board #6,Brooklyn,40.630333,-74.038459,44,,,Bay Ridge
"Looking Glass Productions of New York, Inc.","812 Broadway, 3rd Floor",New York,NY,10003,(212) 420-9208,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #2,Manhattan,40.732741,-73.991203,61,1080118,1005570012,West Village
"Looking Glass Theatre, Inc.",422 West 57th Street,New York,NY,10019,(212) 307-9467,Theater,Manhattan Council District #6,Manhattan Community Board #5,Manhattan,40.768277,-73.986592,139,1080955,1010660043,Clinton
"Los Pleneros de la 21, Inc.",1680 Lexington Avenue,New York,NY,10029,(212) 427-5221,Folk Arts,Manhattan Council District #8,Manhattan Community Board #11,Manhattan,40.791881,-73.946558,172,1051991,1016330013,East Harlem South
"Lot Radio, Inc.",17 Nassau Ave,Brooklyn,NY,11222,(347) 446-6553,Music,Brooklyn Council District #33,Brooklyn Community Board #1,Brooklyn,40.722722,-73.953966,569,3065937,3026400001,Greenpoint
"Lotus Fine Arts Productions, Inc.","310 Riverside Drive, Room 210",New York,NY,10025,(212) 627-1076 x14,Folk Arts,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.800423,-73.971383,191,1057188,1018900040,Upper West Side
Louis Armstrong House,34-56 107th Street,Corona,NY,11368,(718) 997-3920,Museum,Queens Council District #21,Queens Community Board #3,Queens,40.754932,-73.861398,379,4043494,4017480036,North Corona
"Love Fellowship Tabernacle, Inc.",464 Liberty Avenue,Brooklyn,NY,11207,(718) 235-2266,"Multi-Discipline, Performing",Brooklyn Council District #42,Brooklyn Community Board #5,Brooklyn,40.674969,-73.892629,1152,3083726,3037080011,East New York
"Lower East Side Community Music Workshop, Inc.","95 Avenue B, 1st floor",New York,NY,10009,(212) 353-1843,Music,Manhattan Council District #2,Manhattan Community Board #3,Manhattan,40.724629,-73.981525,2602,1004669,1003890002,Lower East Side
Lower East Side Conservancy,235 East Broadway,New York,NY,10002,(212) 233-6037,"Multi-Discipline, Non-Perform",Manhattan Council District #1,Manhattan Community Board #3,Manhattan,40.714359,-73.986509,201,1003732,1002860033,Lower East Side
Lower East Side District Management Association,54 Orchard Street,New York,NY,10002,(212) 226-9010,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #1,Manhattan Community Board #3,Manhattan,40.716679,-73.99096,16,1004000,1003090006,Chinatown
Lower East Side Girls Club,101 Avenue D,New York,NY,10009,(212) 982-1633 x104,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #3,Manhattan,40.723308,-73.976323,2602,1089381,1003777503,Lower East Side
"Lower East Side Performing Arts, Inc.",268 East Broadway,New York,NY,10002,(212) 388-0202,"Multi-Discipline, Performing",Manhattan Council District #1,Manhattan Community Board #1,Manhattan,40.714499,-73.984979,1401,1082654,1003150001,Lower East Side
"Lower East Side Printshop, Inc.","306 West 37th Street, 6th floor",New York,NY,10018,(212) 673-5390 x14,Visual Arts,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.754318,-73.99263,111,1013596,1007600032,Hudson Yards-Chelsea-Flatiron-Union Square
Lower East Side Tenement Museum,103 Orchard Street,New York,NY,10002,(212) 431-0233 x222,Museum,Manhattan Council District #1,Manhattan Community Board #3,Manhattan,40.718592,-73.990007,18,1005471,1004140051,Chinatown
Lower Manhattan Cultural Council,"125 Maiden Lane, 2nd floor",New York,NY,10038,(212) 219-9401 x103,"Multi-Discipline, Non-Perform",Manhattan Council District #1,Manhattan Community Board #1,Manhattan,40.706397,-74.006341,1502,1087484,1000707501,Battery Park City-Lower Manhattan
"Lubovitch Dance Foundation, Inc.","229 West 42nd Street, 8th Floor",New York,NY,10036,(212) 221-7909,Dance,Manhattan Council District #1,Manhattan Community Board #3,Manhattan,40.756571,-73.98819,119,1024683,1010140017,Midtown-Midtown South
"Lyric Chamber Music Society of New York, Inc.","20 West 64th Street, Apt. 27H",New York,NY,10023,(212) 496-9927,Music,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,40.77143,-73.980335,149,1027472,1011167501,Lincoln Square
"MA-YI Filipino Theatre Ensemble, Inc.","520 Eighth Avenue, Suite #309",New York,NY,10018,(212) 971-4862,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,40.753612,-73.992417,109,1083624,1007860001,Midtown-Midtown South
"MAC Creations P.O.P. Arts, Inc.",PO Box 1234,Bronx,NY,10462,(718) 512-5042,Film/Video/Audio,Bronx Council District #18,Bronx Community Board #9,Bronx,,,,,,
"MAPP International Productions, Inc.",140 Second Avenue,New York,NY,10003,(646) 602-9390,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #3,Manhattan,40.728956,-73.987401,38,1006362,1004500006,East Village
"MUSE Film and Television, Inc.","1 East 53rd Street, 10th Floor",New York,NY,10022,(212) 688-8280,Film/Video/Audio,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,40.760324,-73.975584,102,1035725,1012890005,Midtown-Midtown South
"Mabou Mines Development Foundation, Inc.",Peter Stuyvesant Station,New York,NY,10009,(212) 473-0559,Theater,Manhattan Council District #2,Manhattan Community Board #3,Manhattan,,,,,,
Madison Square Park Conservancy,11 Madison Avenue,New York,NY,10010,(212) 538-7150,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #3,Manhattan Community Board #5,Manhattan,40.741617,-73.987449,56,1088910,1008547501,Hudson Yards-Chelsea-Flatiron-Union Square
"Mafata Dance Company, Inc.",301 Admiral Lane,Bronx,NY,10473,(718) 518-8099,Dance,Bronx Council District #18,Bronx Community Board #2,Bronx,40.807073,-73.854206,4,2099266,2034327501,Soundview-Castle Hill-Clason Point-Harding Park
"Magic Box Productions, Inc.","320 Central Park West, Apt. 19B",New York,NY,10025,(718) 809-7405,"Multi-Discipline, Non-Perform",Manhattan Council District #6,Manhattan Community Board #6,Manhattan,40.789015,-73.966632,177,1031626,1012050034,Upper West Side
Magnum Foundation,"59 East 4th Street, #7W",New York,NY,10003,(212) 219-1248,Photography,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.726785,-73.990807,38,1082642,1004600056,East Village
"Maimouna Keita School of African Dance, Inc.",P.O. Box 470972,Brooklyn,NY,11247,(718) 455-1406,Folk Arts,Brooklyn Council District #36,Brooklyn Community Board #3,Brooklyn,,,,,,
Major Music International Corporation,114-04 Farmers Boulevard,Saint Albans,NY,11412,(917) 865-9376,"Multi-Discipline, Performing",Queens Council District #27,Queens Community Board #12,Queens,40.697841,-73.762234,400,4536661,4103970025,St. Albans
"Makam New York, Inc.",1800 7th Ave #7C,New York,NY,10026,(646) 522-9285,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #9,Manhattan Community Board #10,Manhattan,40.799534,-73.955246,216,1076519,1018267501,Central Harlem South
"Make Music New York, Inc.",419 Lafayette Street,New York,NY,10003,(917) 779-9709,Music,Manhattan Council District #9,Manhattan Community Board #10,Manhattan,40.728789,-73.992344,57,1008773,1005440013,West Village
Make the Road New York,301 Grove Street,Brooklyn,NY,11237,(718) 418-7690,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #37,Brooklyn Community Board #4,Brooklyn,40.698448,-73.915629,433,3075926,3033170041,Bushwick North
"Making Books Sing, Inc.",340 East 46th Street,New York,NY,10017,(212) 573-8791 x240,Theater,Manhattan Council District #4,Manhattan Community Board #6,Manhattan,40.751943,-73.969339,90,1038777,1013380035,Turtle Bay-East Midtown
"Mama Foundation for the Arts, Inc.",149 West 126th Street,New York,NY,10027,(212) 280-1045,Music,Manhattan Council District #9,Manhattan Community Board #10,Manhattan,40.809036,-73.946375,224,1057889,1019110112,Central Harlem North-Polo Grounds
Man Up! Inc.,797/799 Van Siclen Avenue,Brooklyn,NY,11207,(718) 498-2320,Other,Brooklyn Council District #42,Brooklyn Community Board #5,Brooklyn,,,,,,
"Manhattan Art Program, Inc.","800 6th avenue, suite 11C",New York,NY,10010,(212) 686-2202,Visual Arts,Manhattan Council District #1,Manhattan Community Board #1,Manhattan,40.745342,-73.990487,58,1088723,1008290001,Hudson Yards-Chelsea-Flatiron-Union Square
Manhattan Choral Ensemble,P.O. Box 3852,New York,NY,10163,(917) 586-7593,Music,Manhattan Council District #6,Manhattan Community Board #4,Manhattan,,,,,,
"Manhattan Class Company, Inc.",231 West 29th Street,New York,NY,10001,(212) 727-7722 x239,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.748299,-73.993937,95,1014283,1007790017,Midtown-Midtown South
Manhattan Community Access Corporation,537 West 59th Street,New York,NY,10019,(212) 757-2670 x324,Film/Video/Audio,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,40.77091,-73.988768,147,1030307,1011510012,Lincoln Square
Manhattan Graphics Center,250 West 40th Street,New York,NY,10018,(212) 219-8783,Visual Arts,Manhattan Council District #3,Manhattan Community Board #2,Manhattan,40.75535,-73.989334,113,1014509,1007890067,Midtown-Midtown South
"Manhattan New Music Project, Inc.",243 West 30th Street,New York,NY,10001,(212) 977-1070,Music,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.749018,-73.993731,101,1014340,1007800015,Midtown-Midtown South
Manhattan School of Music,120 Claremont Avenue,New York,NY,10027,(917) 749-4433,Music,Manhattan Council District #7,Manhattan Community Board #9,Manhattan,40.812588,-73.961848,211,1076684,1019930001,Morningside Heights
"Manhattan Sprout, Inc.",270 West 96th Street,New York,NY,10025,(212) 222-9575,Film/Video/Audio,Manhattan Council District #8,Manhattan Community Board #7,Manhattan,40.794981,-73.972584,183,1033711,1012430060,Upper West Side
"Manhattan Theatre Club, Inc.","311 West 43rd Street, Eighth Floor",New York,NY,10036,(212) 399-3000 x4124,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,40.75818,-73.989922,121,1024965,1010340022,Clinton
Manhattan Theatre Source Incorporated,177 MacDougal Street,New York,NY,10011,(212) 260-4698,Theater,Manhattan Council District #3,Manhattan Community Board #2,Manhattan,40.732783,-73.998142,63,1077891,1005530026,West Village
"Manna House Workshops, Inc.",338 East 106th Street,New York,NY,10029,(212) 722-8223,"Multi-Discipline, Performing",Manhattan Council District #8,Manhattan Community Board #11,Manhattan,40.790012,-73.941005,170,1052766,1016770035,East Harlem South
Mano a Mano: Mexican Culture Without Borders,126 St. Felix Street,Brooklyn,NY,11217-1423,(212) 587-3070,"Multi-Discipline, Performing",Manhattan Council District #1,Manhattan Community Board #1,Manhattan,,,,,,
Marcus Garvey Park Alliance,"17 West 121, Apt 3",New York,NY,10027,(917) 797-9938,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #9,Manhattan Community Board #11,Manhattan,,,,,,
"Mare Nostrum Elements, Inc.","39-48 64th Street, 2nd Floor",Woodside,NY,11377,(718) 545-6665,"Multi-Discipline, Performing",Queens Council District #26,Queens Community Board #2,Queens,40.745072,-73.90046,261,4030069,4012950032,Woodside
Marie-Christine Giordano Dance Company,"220 25th Street, Ste. 202",Brooklyn,NY,11232,(718) 369-6459,Dance,Brooklyn Council District #38,Brooklyn Community Board #7,Brooklyn,40.660143,-73.997488,101,3009615,3006550015,Sunset Park West
"Marilyn Horne Foundation, Inc.","250 West 57th Street, Ste. 603",New York,NY,10107,(212) 582-2000,Music,Manhattan Council District #6,Manhattan Community Board #5,Manhattan,40.766391,-73.982119,137,1024899,1010280056,Midtown-Midtown South
Marine Park Community Association,3221 Avenue S,Brooklyn,NY,11234,(718) 382-1657,"Multi-Discipline, Non-Perform",Brooklyn Council District #46,Brooklyn Community Board #18,Brooklyn,40.608036,-73.934028,636,3239890,3084990002,Georgetown-Marine Park-Bergen Beach-Mill Basin
"Marquis Studios, Ltd.",45 Main Street,Brooklyn,NY,11201,(718) 694-9400,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn,40.702799,-73.990677,21,3329423,3000370001,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
"Martha Graham Center of Contemporary Dance, Inc.",55 Bethune Street,New York,NY,10014,(917) 553-5984,Dance,Manhattan Council District #5,Manhattan Community Board #8,Manhattan,40.736955,-74.008729,79,1012047,1006390001,West Village
"Martin Luther King, Jr. Concert Series, Inc.","32 Court Street, Ste. 607",Brooklyn,NY,11201,(212) 297-4888,Music,Brooklyn Council District #36,Brooklyn Community Board #9,Brooklyn,40.693014,-73.990758,9,3002248,3002550044,Brooklyn Heights-Cobble Hill
"Martina Arroyo Foundation, Inc.","200 Central Park South, Apt. 20-I",New York,NY,10019,(212) 397-7256,Music,Manhattan Council District #4,Manhattan Community Board #5,Manhattan,40.767022,-73.979448,137,1024918,1010300029,Midtown-Midtown South
Mary Miss / City as Living Laboratory,"349 Greenwich Street, #5",New York,NY,10013,(212) 966-4287,"Multi-Discipline, Non-Perform",Manhattan Council District #1,Manhattan Community Board #1,Manhattan,40.718559,-74.010433,39,1002032,1001807511,SoHo-TriBeCa-Civic Center-Little Italy
"Maspeth Town Hall, Inc.",53-37 72nd Street,Maspeth,NY,11378,(718) 335-6049,"Multi-Discipline, Non-Perform",Queens Council District #30,Queens Community Board #5,Queens,40.730174,-73.892364,497,4058706,4025060015,Maspeth
